Source,Target,Total_Cost,Total_Profit,Net_Profit_Rate
DADAMER,HAM_N,154.8046,26.069,0.1441
DADAMER,HAM_D,158.9885,21.8851,0.121
DADAMER,HAM_I,164.0092,16.8644,0.0932
DADAMER,MUC_N,271.187,41.7586,0.1334
DADAMER,MUC_D,281.3399,31.6057,0.101
DADAMER,MUC_I,285.1473,27.7983,0.0888
DADAMER,FRALEAF,163.1724,17.7011,0.0979
DADAMER,SHA_N,173.8182,35.3354,0.1689
DADAMER,SHA_D,176.8276,32.326,0.1546
DADAMER,SHA_I,179.837,29.3166,0.1402
DADAMER,CAN_N,157.7931,37.1494,0.1906
DADAMER,CAN_D,165.1494,29.7931,0.1528
DADAMER,CAN_I,167.908,27.0345,0.1387
DADAMER,NYC_N,173.0115,35.6092,0.1707
DADAMER,NYC_D,176.0115,32.6092,0.1563
DADAMER,NYC_I,179.0115,29.6092,0.1419
DADAMER,LAX_N,173.0115,35.6092,0.1707
DADAMER,LAX_D,176.0115,32.6092,0.1563
DADAMER,LAX_I,179.0115,29.6092,0.1419
DADEURO,HAM_N,154.8046,26.069,0.1441
DADEURO,HAM_D,158.9885,21.8851,0.121
DADEURO,HAM_I,164.0092,16.8644,0.0932
DADEURO,MUC_N,271.187,41.7586,0.1334
DADEURO,MUC_D,281.3399,31.6057,0.101
DADEURO,MUC_I,285.1473,27.7983,0.0888
DADEURO,FRALEAF,163.1724,17.7011,0.0979
DADEURO,SHA_N,173.8182,35.3354,0.1689
DADEURO,SHA_D,176.8276,32.326,0.1546
DADEURO,SHA_I,179.837,29.3166,0.1402
DADEURO,CAN_N,157.7931,37.1494,0.1906
DADEURO,CAN_D,165.1494,29.7931,0.1528
DADEURO,CAN_I,167.908,27.0345,0.1387
DADEURO,NYC_N,173.0115,35.6092,0.1707
DADEURO,NYC_D,176.0115,32.6092,0.1563
DADEURO,NYC_I,179.0115,29.6092,0.1419
DADEURO,LAX_N,173.0115,35.6092,0.1707
DADEURO,LAX_D,176.0115,32.6092,0.1563
DADEURO,LAX_I,179.0115,29.6092,0.1419
DADASIA,HAM_N,154.8046,26.069,0.1441
DADASIA,HAM_D,158.9885,21.8851,0.121
DADASIA,HAM_I,164.0092,16.8644,0.0932
DADASIA,MUC_N,271.187,41.7586,0.1334
DADASIA,MUC_D,281.3399,31.6057,0.101
DADASIA,MUC_I,285.1473,27.7983,0.0888
DADASIA,FRALEAF,163.1724,17.7011,0.0979
DADASIA,SHA_N,173.8182,35.3354,0.1689
DADASIA,SHA_D,176.8276,32.326,0.1546
DADASIA,SHA_I,179.837,29.3166,0.1402
DADASIA,CAN_N,157.7931,37.1494,0.1906
DADASIA,CAN_D,165.1494,29.7931,0.1528
DADASIA,CAN_I,167.908,27.0345,0.1387
DADASIA,NYC_N,173.0115,35.6092,0.1707
DADASIA,NYC_D,176.0115,32.6092,0.1563
DADASIA,NYC_I,179.0115,29.6092,0.1419
DADASIA,LAX_N,173.0115,35.6092,0.1707
DADASIA,LAX_D,176.0115,32.6092,0.1563
DADASIA,LAX_I,179.0115,29.6092,0.1419
